what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1392135190816
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1392135191658
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1392135196510
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1392135196916
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1392135218693
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1392135221220
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135221236
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135223872
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1392135223904
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1392135223904
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1392135225354
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1392135225354
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1392135226680
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.synchronize",1392135238506
activated,perspective,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.TeamSynchronizingPerspective",1392135238803
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1392135238803
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1392135238849
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135238881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135246084
opened,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1392135258627
activated,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1392135258658
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135258970
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135259235
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1392135264446
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135298469
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135300060
activated,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1392135311694
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135311975
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135312272
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1392135314924
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135317420
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135318917
activated,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1392135322441
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135322706
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135323128
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1392135325374
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135328057
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135329508
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.update",1392135373080
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135373502
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135375165
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.update",1392135381093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135381389
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135382107
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.update",1392135388503
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135388799
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135389127
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.update",1392135418829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135419141
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135420133
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.update",1392135423440
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135423752
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135424134
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.update",1392135427457
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135427784
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135428134
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.update",1392135431519
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135431831
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135432134
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.update",1392135452180
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135452492
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135453134
activated,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1392135460403
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135460684
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135460887
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1392135470465
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135477985
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135480169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392135480184
