what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1393895107740
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1393895110876
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.update",1393895112467
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895112779
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895113117
activated,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1393895115489
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895115769
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895116050
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1393895124927
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895133132
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895135101
activated,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1393895141809
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895142090
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895142355
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1393895171839
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895177471
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895182494
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895182494
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895182803
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.commit",1393895182804
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895182832
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895183102
activated,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1393895208671
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895208936
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895209108
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1393895216362
activated,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1393895232445
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895232742
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895232851
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1393895235893
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.update",1393895238810
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895239122
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895240133
activated,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1393895247247
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895247512
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895247699
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1393895256326
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.update",1393895260335
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895260631
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895261118
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.update",1393895265907
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895266204
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895267118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895276213
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895278133
activated,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1393895281706
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895281986
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895282174
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1393895286089
activated,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1393895293858
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895294154
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895294404
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1393895325635
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.update",1393895327382
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895327694
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895328118
activated,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1393895329865
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895330131
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895330287
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1393895333641
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.update",1393895335201
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393895335497
