what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1369345111190
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345113627
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345130682
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1369345132193
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1369345134727
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1369345198009
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1369345199920
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345202331
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345207340
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1369345208318
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1369345226868
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345230679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345236760
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345265011
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345306745
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345319999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345325974
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369345326164
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1369345369137
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1369345370009
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1369345375609
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1369345378077
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345380712
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345382005
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.debug",1369345382182
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369345391987
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1369345410914
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.synchronize",1369345423197
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345423533
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345423616
activated,perspective,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.TeamSynchronizingPerspective",1369345423652
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369345423671
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1369345423698
opened,editor,org.eclipse.compare,,"org.eclipse.compare.CompareEditor",1369345424028
activated,editor,org.eclipse.compare,,"org.eclipse.compare.CompareEditor",1369345424068
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345424386
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345424553
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369345451083
closed,editor,org.eclipse.compare,,"org.eclipse.compare.CompareEditor",1369345451083
activated,perspective,,,"Hamdoune",1369345456455
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1369345458111
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.synchronize",1369345486837
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345487160
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345487299
activated,perspective,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.TeamSynchronizingPerspective",1369345487330
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369345487348
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1369345487375
opened,editor,org.eclipse.compare,,"org.eclipse.compare.CompareEditor",1369345487708
activated,editor,org.eclipse.compare,,"org.eclipse.compare.CompareEditor",1369345487752
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345488064
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345488357
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1369345548898
activated,perspective,,,"Hamdoune",1369345553379
activated,editor,org.eclipse.compare,,"org.eclipse.compare.CompareEditor",1369345554534
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345554569
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345556791
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1369345557027
closed,editor,org.eclipse.compare,,"org.eclipse.compare.CompareEditor",1369345557027
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1369345569413
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1369345576501
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1369345576544
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1369345584917
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.synchronize",1369345589946
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345590255
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369345590322
activated,perspective,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.TeamSynchronizingPerspective",1369345590359
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1369345590374
