what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1424734087492
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424734097263
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734099239
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734105803
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424734109107
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734111373
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734142439
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1424734151571
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1424734151912
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1424734154706
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1424734155010
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424734156847
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734158999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734165658
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1424734198302
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424734204251
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734205971
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734220378
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1424734231013
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424734237757
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734239818
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734264487
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1424734267267
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424734269219
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734272339
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734286426
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1424734286586
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1424734294125
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1424734326208
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1424734326448
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1424734342640
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1424734345758
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1424734360158
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734369161
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734369383
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1424734383393
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1424734383657
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1424734400194
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734401795
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734406496
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1424734418351
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1424734420795
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1424734429535
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1424734432407
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1424734448254
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1424734488744
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1424734488976
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1424734513900
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424734519076
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1424734563074
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1424734569600
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1424734575766
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424734579560
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734583444
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734595428
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734611005
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734633862
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1424734633873
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1424734650170
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1424734661384
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1424734661657
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424734663618
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734665552
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734671162
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1424734671183
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1424734678253
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424734681754
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734683783
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734686300
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1424734686323
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734688569
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734709554
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1424734718553
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1424734721344
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1424734742382
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1424734753217
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1424734761026
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1424734764136
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424734766874
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734768834
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734772411
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1424734790826
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1424734794034
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424734796586
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734798881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734806685
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424734810098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1424734837912
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424734842670
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734844676
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734889823
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1424734900769
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1424734906159
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424734933776
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424735093508
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1424735099721
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1424735108282
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1424735111296
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424735130609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424735132823
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424735146154
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1424735146177
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1424735162037
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1424735162060
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424735170764
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1424735170783
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424735176121
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1424735177013
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1424735177268
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1424735177290
