what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425060668778
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425060670743
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425060706429
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425060709933
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425060712185
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425060748126
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425060788246
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425060791579
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425060793540
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425060816059
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1425060827934
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1425060831666
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425060840411
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425060842177
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425060846503
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425060848472
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425060850526
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425060852323
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425060863418
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1425060866174
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1425060866399
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425060869384
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425060876402
