what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1411743583187
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411743585677
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1411743587561
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1411743587892
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1411743589954
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1411743594443
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1411743597012
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1411743601596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411743611414
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411743652651
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1411743652657
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1411743675024
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411743679889
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411743685788
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411743698691
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411743710545
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411743713638
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411743715412
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411743719883
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411743771575
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411743787237
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1411743796442
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411743801580
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411743801828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411743802052
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411743803143
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411743804241
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1411743804264
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411743807829
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411743840538
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1411743846064
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411743883607
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411743889421
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411743889638
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411743893230
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1411743903575
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411743905390
