what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422399462048
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422399465554
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422399467315
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422399498443
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1422399504499
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422399514627
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422399516826
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422399540322
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422399544271
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422399546584
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422399558692
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1422399558812
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1422399573384
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1422399573663
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1422399576549
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422399583564
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422399585659
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422399588097
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422399590427
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422399601681
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1422399601817
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1422399651214
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1422399688754
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422399693931
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422399696398
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422399698391
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422399715860
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1422399721397
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1422399734573
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422399737675
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422399741068
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422399743080
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422399758464
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422399761808
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422399763819
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422399787024
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422399790752
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422399792325
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422399807651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422399814846
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422399817426
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422399937971
closed,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1422399947380
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400028035
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400080207
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1422400151861
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1422400194805
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1422400195083
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.debug",1422400202306
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1422400203631
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1422400253187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400281672
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400297075
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1422400297926
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1422400297950
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1422400300194
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1422400300334
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400302784
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400310332
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1422400312357
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1422400312556
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400316530
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400316697
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1422400319142
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1422400319324
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400360515
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400366468
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1422400369944
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1422400370136
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1422400379183
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400382039
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400390977
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1422400390993
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1422400393494
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1422400393660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400402223
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400402437
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1422400404716
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1422400404898
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400407535
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400407721
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1422400412274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400415057
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400415262
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1422400420325
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1422400420508
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400423009
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400423183
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1422400428589
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1422400429542
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1422400430197
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1422400431158
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1422400431511
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1422400431767
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1422400432055
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1422400432335
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1422400432615
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1422400432887
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1422400433151
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1422400433383
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1422400433631
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1422400436935
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1422400454099
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1422400478255
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422400494249
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1422400499827
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1422400499948
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1422400500175
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1422400502788
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400506844
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422400513595
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.debug",1422400516015
