===============================================
06/01/2015 11:48:48 By:frank
===============================================
 150 ,LS_ORDER_ID:ACO39IL3393171 ,|---->dosen't exist 
 151 ,LS_ORDER_ID:ACO39IL3393191 ,|---->dosen't exist 
 152 ,LS_ORDER_ID:ACO39IL3394411 ,|---->dosen't exist 
 171 ,LS_ORDER_ID:RIO10VISADCH1440037 ,|---->dosen't exist 
 173 ,LS_ORDER_ID:RIO10CMCH1441035R1_1 ,|---->dosen't exist 
 174 ,LS_ORDER_ID:14-49107 ,|---->dosen't exist 
 175 ,LS_ORDER_ID:649778 ,|---->dosen't exist 
 176 ,LS_ORDER_ID:4990210 ,|---->dosen't exist 
 177 ,LS_ORDER_ID:5078817 ,|---->dosen't exist 
 178 ,LS_ORDER_ID:5021807 ,|---->dosen't exist 
 179 ,LS_ORDER_ID:42827 ,|---->dosen't exist 
 180 ,LS_ORDER_ID:CAN0062289 ,|---->dosen't exist 
 181 ,LS_ORDER_ID:5109816 ,|---->dosen't exist 
 182 ,LS_ORDER_ID:645674 ,|---->dosen't exist 
 183 ,LS_ORDER_ID:5106016 ,|---->dosen't exist 
 184 ,LS_ORDER_ID:CAN0060450 ,|---->dosen't exist 
 185 ,LS_ORDER_ID:5082084 ,|---->dosen't exist 
 186 ,LS_ORDER_ID:CAN0062244 ,|---->dosen't exist 
 187 ,LS_ORDER_ID:5105884 ,|---->dosen't exist 
 188 ,LS_ORDER_ID:5116237 ,|---->dosen't exist 
 189 ,LS_ORDER_ID:5115527 ,|---->dosen't exist 
 190 ,LS_ORDER_ID:5110313 ,|---->dosen't exist 
 191 ,LS_ORDER_ID:656850 ,|---->dosen't exist 
 192 ,LS_ORDER_ID:5118203 ,|---->dosen't exist 
 193 ,LS_ORDER_ID:5115968 ,|---->dosen't exist 
 207 ,LS_ORDER_ID:ACO39IL3349672 ,|---->dosen't exist 
 208 ,LS_ORDER_ID:ACO39IL3355661 ,|---->dosen't exist 
 210 ,LS_ORDER_ID:ACO39IL3370821 ,|---->dosen't exist 
 211 ,LS_ORDER_ID:ACO39IL3372381 ,|---->dosen't exist 
 214 ,LS_ORDER_ID:ACO39IL3377936 ,|---->dosen't exist 

===============================================
06/01/2015 11:51:47 By:frank
===============================================
 5 ,LS_ORDER_ID:RIO10CMCH1441035R3 ,|---->dosen't exist 
 6 ,LS_ORDER_ID:RIO10VISADCH1441088 ,|---->dosen't exist 
 7 ,LS_ORDER_ID:RIO10VISADCH1440978 ,|---->dosen't exist 
 8 ,LS_ORDER_ID:RIO10CMCH1441035R4 ,|---->dosen't exist 
 9 ,LS_ORDER_ID:RIO10CMCH1441035R1 ,|---->dosen't exist 
 10 ,LS_ORDER_ID:RIO10VISADCH1441104 ,|---->dosen't exist 
 11 ,LS_ORDER_ID:RIO10VISADCH1441011 ,|---->dosen't exist 
 12 ,LS_ORDER_ID:RIO10VISADCH1440956 ,|---->dosen't exist 
 13 ,LS_ORDER_ID:RIO10VISADCH1441014 ,|---->dosen't exist 
 14 ,LS_ORDER_ID:RIO10VISADCH1440955 ,|---->dosen't exist 
 15 ,LS_ORDER_ID:RIO10VISADCH1441157 ,|---->dosen't exist 
 16 ,LS_ORDER_ID:RIO10VISADCH1441081 ,|---->dosen't exist 
 17 ,LS_ORDER_ID:RIO10VISADCH1440972 ,|---->dosen't exist 
 18 ,LS_ORDER_ID:RIO10CMCH1441035R6 ,|---->dosen't exist 
 19 ,LS_ORDER_ID:VIO45TCLV-140107 ,|---->dosen't exist 
 28 ,LS_ORDER_ID:ACO39IL3396322 ,|---->dosen't exist 
 29 ,LS_ORDER_ID:ACO39IL3396904 ,|---->dosen't exist 
 30 ,LS_ORDER_ID:ACO39IL3396907 ,|---->dosen't exist 
