===============================================
17/10/2014 21:37:58 By:test100
===============================================
 219 ,LS_ORDER_ID:RIO10VISADCH1420404 ,|---->dosen't exist 
 220 ,LS_ORDER_ID:ACO39IL3065341 ,|---->dosen't exist 
 221 ,LS_ORDER_ID:ACO39IL3065251 ,|---->dosen't exist 
 226 ,LS_ORDER_ID:BIO1140380R10 ,|---->dosen't exist 
 231 ,LS_ORDER_ID:ACO39IL3065311 ,|---->dosen't exist 
 234 ,LS_ORDER_ID:RIO10VISADCH1422033 ,|---->dosen't exist 
 235 ,LS_ORDER_ID:RIO10CSYNCCH1421816 ,|---->dosen't exist 
 240 ,LS_ORDER_ID:INO4341083 ,|---->dosen't exist 
 243 ,LS_ORDER_ID:INO4340806 ,|---->dosen't exist 
 245 ,LS_ORDER_ID:RIO10CMCH1420262R1 ,|---->dosen't exist 
 246 ,LS_ORDER_ID:INO4341051 ,|---->dosen't exist 
 248 ,LS_ORDER_ID:INO4342498 ,|---->dosen't exist 
 252 ,LS_ORDER_ID:INO4343141 ,|---->dosen't exist 
 253 ,LS_ORDER_ID:RIO10CMCH1421914R2 ,|---->dosen't exist 
 255 ,LS_ORDER_ID:INO4341012 ,|---->dosen't exist 
 256 ,LS_ORDER_ID:INO4341061 ,|---->dosen't exist 
 257 ,LS_ORDER_ID:INO4343331 ,|---->dosen't exist 
 258 ,LS_ORDER_ID:INO4343306 ,|---->dosen't exist 
 260 ,LS_ORDER_ID:ROO1011414763 ,|---->dosen't exist 
 268 ,LS_ORDER_ID:RIO10CMCH1421914R3 ,|---->dosen't exist 
 279 ,LS_ORDER_ID:BIO1140245R1 ,|---->dosen't exist 
 281 ,LS_ORDER_ID:INO4342965 ,|---->dosen't exist 
 288 ,LS_ORDER_ID:ACO39IL3036131 ,|---->dosen't exist 
 293 ,LS_ORDER_ID:INO4343265 ,|---->dosen't exist 
 297 ,LS_ORDER_ID:INO4343248 ,|---->dosen't exist 
 302 ,LS_ORDER_ID:ACO39IL3065621 ,|---->dosen't exist 
 308 ,LS_ORDER_ID:INO4342273 ,|---->dosen't exist 
 312 ,LS_ORDER_ID:INO4343247 ,|---->dosen't exist 
 313 ,LS_ORDER_ID:INO4343204 ,|---->dosen't exist 
 314 ,LS_ORDER_ID:BIO1139690R1 ,|---->dosen't exist 
 315 ,LS_ORDER_ID:INO4342924 ,|---->dosen't exist 
 319 ,LS_ORDER_ID:INO4342882 ,|---->dosen't exist 
 320 ,LS_ORDER_ID:INO4343314 ,|---->dosen't exist 
 323 ,LS_ORDER_ID:INO4343261 ,|---->dosen't exist 
 324 ,LS_ORDER_ID:INO4343291 ,|---->dosen't exist 
 330 ,LS_ORDER_ID:ACO39IL3062463 ,|---->dosen't exist 
 332 ,LS_ORDER_ID:RIO10VISADCH1421773 ,|---->dosen't exist 
 336 ,LS_ORDER_ID:INO4343292 ,|---->dosen't exist 
 337 ,LS_ORDER_ID:RIO10VISADCH1421807 ,|---->dosen't exist 
 339 ,LS_ORDER_ID:ONO57742699 ,|---->dosen't exist 
 342 ,LS_ORDER_ID:MAO56230847R4 ,|---->dosen't exist 
 350 ,LS_ORDER_ID:MAO56230847R5 ,|---->dosen't exist 
 353 ,LS_ORDER_ID:HMO735727200308 ,|---->dosen't exist 
 355 ,LS_ORDER_ID:MAO56230847R2 ,|---->dosen't exist 
 356 ,LS_ORDER_ID:RIO10CMCH1421623 ,|---->dosen't exist 
 357 ,LS_ORDER_ID:RIO10CMMCH1421999 ,|---->dosen't exist 
 358 ,LS_ORDER_ID:RIO10VISADCH1421990 ,|---->dosen't exist 
 359 ,LS_ORDER_ID:RIO10VISADCH1421979 ,|---->dosen't exist 
 373 ,LS_ORDER_ID:MAO56230847 ,|---->dosen't exist 
 375 ,LS_ORDER_ID:HMO735727200310 ,|---->dosen't exist 
 376 ,LS_ORDER_ID:HMO737201313188 ,|---->dosen't exist 
 377 ,LS_ORDER_ID:HMO735721203963 ,|---->dosen't exist 
 398 ,LS_ORDER_ID:ONO57743056 ,|---->dosen't exist 
 414 ,LS_ORDER_ID:RIO10VISADCH1419842 ,|---->dosen't exist 
 416 ,LS_ORDER_ID:RIO10VISADCH1419878 ,|---->dosen't exist 
 417 ,LS_ORDER_ID:RIO10VISADCH1418612 ,|---->dosen't exist 
 418 ,LS_ORDER_ID:RIO10VISADCH1419917 ,|---->dosen't exist 
 420 ,LS_ORDER_ID:ACO39IL2981421 ,|---->dosen't exist 
 421 ,LS_ORDER_ID:RIO10VISADCH1419923 ,|---->dosen't exist 
 424 ,LS_ORDER_ID:SCO85DS646885 ,|---->dosen't exist 
 426 ,LS_ORDER_ID:SCO85DS646883 ,|---->dosen't exist 
 429 ,LS_ORDER_ID:RIO10CMCH1419307R6 ,|---->dosen't exist 
 431 ,LS_ORDER_ID:ONO57743137 ,|---->dosen't exist 
 433 ,LS_ORDER_ID:ONO57743137R1 ,|---->dosen't exist 
 434 ,LS_ORDER_ID:ONO57743137R2 ,|---->dosen't exist 
 435 ,LS_ORDER_ID:SCO85DS646882 ,|---->dosen't exist 
 436 ,LS_ORDER_ID:SCO85DS646884 ,|---->dosen't exist 
 447 ,LS_ORDER_ID:HMO737201313185 ,|---->dosen't exist 
 459 ,LS_ORDER_ID:RIO10VISADCH1419709 ,|---->dosen't exist 
 460 ,LS_ORDER_ID:ACO39IL3061181 ,|---->dosen't exist 
 468 ,LS_ORDER_ID:RIO10VISADCH1419613 ,|---->dosen't exist 
 469 ,LS_ORDER_ID:ACO39IL3063652 ,|---->dosen't exist 
 471 ,LS_ORDER_ID:RIO10VISADCH1421400 ,|---->dosen't exist 
 473 ,LS_ORDER_ID:MAO56232518 ,|---->dosen't exist 
 474 ,LS_ORDER_ID:RIO10VISADCH1417992 ,|---->dosen't exist 
 478 ,LS_ORDER_ID:SCO85DS647101 ,|---->dosen't exist 
 486 ,LS_ORDER_ID:INO4342806 ,|---->dosen't exist 
 496 ,LS_ORDER_ID:INO4343514 ,|---->dosen't exist 
 497 ,LS_ORDER_ID:INO4343536 ,|---->dosen't exist 
 498 ,LS_ORDER_ID:INO4343490 ,|---->dosen't exist 
 499 ,LS_ORDER_ID:ONO57740858 ,|---->dosen't exist 
 505 ,LS_ORDER_ID:ONO571267990 ,|---->dosen't exist 
 507 ,LS_ORDER_ID:VIO45SCV-131386 ,|---->dosen't exist 
 511 ,LS_ORDER_ID:CAO3210035811 ,|---->dosen't exist 
 513 ,LS_ORDER_ID:RIO10CMCH1420603R1 ,|---->dosen't exist 
 515 ,LS_ORDER_ID:RIO10VISADCH1420694 ,|---->dosen't exist 
 522 ,LS_ORDER_ID:RIO10VISADCH1421576 ,|---->dosen't exist 
 525 ,LS_ORDER_ID:RIO10VISADCH1421206 ,|---->dosen't exist 
 532 ,LS_ORDER_ID:EDO64798103 ,|---->dosen't exist 
 537 ,LS_ORDER_ID:RIO10CMCH1418204R10 ,|---->dosen't exist 
 538 ,LS_ORDER_ID:RIO10VISADCH1420719 ,|---->dosen't exist 
 542 ,LS_ORDER_ID:RIO10VISADCH1420733 ,|---->dosen't exist 
 545 ,LS_ORDER_ID:RIO10STINCCH1418156 ,|---->dosen't exist 
 546 ,LS_ORDER_ID:ACO39IL3074714 ,|---->dosen't exist 
 550 ,LS_ORDER_ID:RIO10VISADCH1417720 ,|---->dosen't exist 
 554 ,LS_ORDER_ID:BIO1139920R15 ,|---->dosen't exist 
